MSOA11CD,Proportion,Extent,Score,Proportion_Decile,Extent_Decile,Score_Decile
E02000332,0,0.29246897452645326,15.901758850424558,1,3,5
E02000333,0,0.6212704230908314,13.90021314803248,1,8,4
E02000334,0,0.4493623999543114,25.993311114555883,1,6,7
E02000335,0.5,0.5288839896727634,11.431670360520094,4,7,3
E02000337,0,0.4030705495308883,30.83114061167296,1,5,8
E02000339,0,0.5857406212554153,17.054623308390386,1,8,5
E02000340,0.25,0.48810279187817257,14.542221922588833,3,6,4
E02000341,0,0.39919157275845174,38.41635975012248,1,5,9
E02000342,0,0.2986854173035769,21.596820544176094,1,3,6
E02000343,0,0.4657018813314038,25.219478726483356,1,6,7
E02000344,0,0.6101535021405949,12.952855458119142,1,8,4
E02000345,0,0.694248932698172,28.995613425200965,1,9,8
E02000346,0,0.4873301321281737,47.16933467501491,1,6,10
E02000347,0,0.6744347001082552,28.999221284954935,1,8,8
E02000348,0,0.223779437105112,33.21411143021252,1,2,9
E02000350,0,0.8497986941193649,24.30656054300436,1,10,7
E02000351,0,0.41940379403794037,27.087761951219512,1,5,8
E02000352,0,0.2771264994547437,26.09956461286805,1,3,7
E02000353,0,0.42018950437317787,23.555051141885325,1,5,7
E02000354,0,0.24051198404465887,34.86709130724555,1,2,9
E02000355,0,0.5247247759135831,28.735513864628825,1,7,8
E02000356,0,0.740736357284433,23.850553643998918,1,9,7
E02000357,0,0.3680090752180942,43.064232230301236,1,4,10
E02000358,0,0.11053171482304668,32.00512557702171,1,1,9
E02000359,0,0.5412427376520614,30.71862104172832,1,7,8
E02000360,0,0.2657260133401744,36.47772832221652,1,3,9
E02000361,0,0.361441309886286,33.019894332939785,1,4,9
E02000362,0,0.3641602248770204,42.2926722417428,1,4,10
E02000363,0,0.21161734809125818,42.04983381974249,1,2,10
E02000364,0,0.3555055262097202,27.97226360338573,1,4,8
E02000365,0,0.16259970272738666,29.748566519224227,1,1,8
E02000366,0,0.48321583249677325,34.18647836512262,1,6,9
E02000367,0,0.14293527803099362,31.862224794895166,1,1,8
E02000368,0,0.2177150695669214,37.53115089163238,1,2,9
E02000369,0,0.276082309558084,34.93833780442113,1,3,9
E02000370,0,0.28532853285328535,32.319589783978394,1,3,9
E02000371,0,0.2700630555823281,29.41761959430906,1,3,8
E02000372,0,0.2748986523501698,31.85196263832584,1,3,8
